cell_set_accession	cell_label	cell_fullname	parent_cell_set_accession	parent_cell_set_name	labelset	cell_ontology_term_id	cell_ontology_term	rationale	rationale_dois	marker_gene_evidence	synonyms	neurotransmitter_accession	neurotransmitter_rationale	neurotransmitter_marker_gene_evidence	original_label	cell_set_designation	cell_set_alias	cell_set_structure	cell_set_ontology_tag	cell_set_alias_assignee	taxonomy_id
CS202106160_353	353_CA3-ve	353_CA3-ve	CS202106160_578	CA3	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						353_CA3-ve	CTX-HPF 353	353_CA3-ve	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_238	238_Car3	238_Car3	CS202106160_525	Car3	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						238_Car3	CTX-HPF 238	238_Car3	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_300	300_L6b ENT	300_L6b ENT	subclass_label:d636443977	L6b/CT ENT	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						300_L6b ENT	CTX-HPF 300	300_L6b ENT	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_22	22_Sncg	22_Sncg	subclass_label:86d5f48b05	Sncg	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						22_Sncg	CTX-HPF 022	22_Sncg	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_101	101_Sst	101_Sst	CS202106160_444	Sst	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						101_Sst	CTX-HPF 101	101_Sst	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_386	386_Micro-PVM	386_Micro-PVM	CS202106160_608	Micro-PVM	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						386_Micro-PVM	CTX-HPF 386	386_Micro-PVM	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_201	201_L5 IT CTX	201_L5 IT CTX	subclass_label:d88cf82cba	L5 IT CTX	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						201_L5 IT CTX	CTX-HPF 201	201_L5 IT CTX	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_372	372_Oligo	372_Oligo	subclass_label:3deb6c773a	Oligo	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						372_Oligo	CTX-HPF 372	372_Oligo	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_273	273_NP SUB	273_NP SUB	CS202106160_541	NP SUB	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						273_NP SUB	CTX-HPF 273	273_NP SUB	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_208	208_L5/6 IT CTX	208_L5/6 IT CTX	subclass_label:d88cf82cba	L5 IT CTX	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						208_L5/6 IT CTX	CTX-HPF 208	208_L5/6 IT CTX	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_104	104_Sst HPF	104_Sst HPF	CS202106160_444	Sst	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						104_Sst HPF	CTX-HPF 104	104_Sst HPF	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_250	250_L5 PT CTX	250_L5 PT CTX	CS202106160_528	L5 PT CTX	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						250_L5 PT CTX	CTX-HPF 250	250_L5 PT CTX	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_62	62_Vip Igfbp6	62_Vip Igfbp6	subclass_label:a547e761cb	Vip	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						62_Vip Igfbp6	CTX-HPF 062	62_Vip Igfbp6	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_358	358_CA3-do	358_CA3-do	CS202106160_578	CA3	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						358_CA3-do	CTX-HPF 358	358_CA3-do	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_14	14_Lamp5	14_Lamp5	subclass_label:e40986e2c0	Lamp5	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						14_Lamp5	CTX-HPF 014	14_Lamp5	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_117	117_Pvalb	117_Pvalb	CS202106160_463	Pvalb	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						117_Pvalb	CTX-HPF 117	117_Pvalb	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_128	128_L2 IT APr	128_L2 IT APr	subclass_label:5d7a3b937f	L2/3 IT PPP	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						128_L2 IT APr	CTX-HPF 128	128_L2 IT APr	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_314	314_L6b CTX	314_L6b CTX	subclass_label:8fb647662f	L6b CTX	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						314_L6b CTX	CTX-HPF 314	314_L6b CTX	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_338	338_CA1	338_CA1	subclass_label:5c6ec72876	CA1-ProS	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						338_CA1	CTX-HPF 338	338_CA1	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_159	159_L2/3 IT AI	159_L2/3 IT AI	subclass_label:9c706e279e	L2/3 IT ENTl	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						159_L2/3 IT AI	CTX-HPF 159	159_L2/3 IT AI	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_319	319_SUB	319_SUB	subclass_label:a416c5553f	SUB-ProS	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						319_SUB	CTX-HPF 319	319_SUB	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_182	182_L4/5 IT CTX	182_L4/5 IT CTX	subclass_label:40ec201664	L4/5 IT CTX	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						182_L4/5 IT CTX	CTX-HPF 182	182_L4/5 IT CTX	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_207	207_L5/6 IT CTX	207_L5/6 IT CTX	subclass_label:d88cf82cba	L5 IT CTX	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						207_L5/6 IT CTX	CTX-HPF 207	207_L5/6 IT CTX	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_271	271_NP SUB	271_NP SUB	CS202106160_541	NP SUB	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						271_NP SUB	CTX-HPF 271	271_NP SUB	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_5	5_Lamp5 Lhx6	5_Lamp5 Lhx6	subclass_label:e40986e2c0	Lamp5	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						5_Lamp5 Lhx6	CTX-HPF 005	5_Lamp5 Lhx6	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_162	162_L2/3 IT CTX	162_L2/3 IT CTX	CS202106160_494	L2/3 IT CTX	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						162_L2/3 IT CTX	CTX-HPF 162	162_L2/3 IT CTX	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_142	142_L2/3 IT PAR	142_L2/3 IT PAR	subclass_label:5d7a3b937f	L2/3 IT PPP	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						142_L2/3 IT PAR	CTX-HPF 142	142_L2/3 IT PAR	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_81	81_Sst	81_Sst	CS202106160_444	Sst	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						81_Sst	CTX-HPF 081	81_Sst	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_183	183_L4/5 IT CTX	183_L4/5 IT CTX	subclass_label:40ec201664	L4/5 IT CTX	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						183_L4/5 IT CTX	CTX-HPF 183	183_L4/5 IT CTX	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_376	376_Astro	376_Astro	subclass_label:ae2c9ed8f1	Astro	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						376_Astro	CTX-HPF 376	376_Astro	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_97	97_Sst	97_Sst	CS202106160_444	Sst	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						97_Sst	CTX-HPF 097	97_Sst	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_294	294_CT SUB	294_CT SUB	CS202106160_551	CT SUB	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						294_CT SUB	CTX-HPF 294	294_CT SUB	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_322	322_ProS	322_ProS	subclass_label:a416c5553f	SUB-ProS	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						322_ProS	CTX-HPF 322	322_ProS	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_296	296_CT SUB	296_CT SUB	CS202106160_551	CT SUB	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						296_CT SUB	CTX-HPF 296	296_CT SUB	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_19	19_Pax6	19_Pax6	subclass_label:e40986e2c0	Lamp5	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						19_Pax6	CTX-HPF 019	19_Pax6	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_148	148_L2 IT ENTm	148_L2 IT ENTm	CS202106160_486	L2 IT ENTm	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						148_L2 IT ENTm	CTX-HPF 148	148_L2 IT ENTm	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_57	57_Vip Igfbp6	57_Vip Igfbp6	subclass_label:a547e761cb	Vip	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						57_Vip Igfbp6	CTX-HPF 057	57_Vip Igfbp6	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_365	365_Oligo	365_Oligo	subclass_label:3deb6c773a	Oligo	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						365_Oligo	CTX-HPF 365	365_Oligo	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_209	209_L5/6 IT CTX	209_L5/6 IT CTX	subclass_label:d88cf82cba	L5 IT CTX	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						209_L5/6 IT CTX	CTX-HPF 209	209_L5/6 IT CTX	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_134	134_L2 IT RSP-ACA	134_L2 IT RSP-ACA	subclass_label:5d7a3b937f	L2/3 IT PPP	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						134_L2 IT RSP-ACA	CTX-HPF 134	134_L2 IT RSP-ACA	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_35	35_Sncg	35_Sncg	subclass_label:86d5f48b05	Sncg	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						35_Sncg	CTX-HPF 035	35_Sncg	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_297	297_CT SUB	297_CT SUB	CS202106160_551	CT SUB	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						297_CT SUB	CTX-HPF 297	297_CT SUB	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_292	292_L6 CT CTX	292_L6 CT CTX	CS202106160_548	L6 CT CTX	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						292_L6 CT CTX	CTX-HPF 292	292_L6 CT CTX	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_11	11_Lamp5	11_Lamp5	subclass_label:e40986e2c0	Lamp5	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						11_Lamp5	CTX-HPF 011	11_Lamp5	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_284	284_L6 CT CTX	284_L6 CT CTX	CS202106160_548	L6 CT CTX	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						284_L6 CT CTX	CTX-HPF 284	284_L6 CT CTX	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_229	229_L6 IT CTX	229_L6 IT CTX	subclass_label:10db4e9506	L6 IT CTX	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						229_L6 IT CTX	CTX-HPF 229	229_L6 IT CTX	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_290	290_L6 CT CTX	290_L6 CT CTX	CS202106160_548	L6 CT CTX	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						290_L6 CT CTX	CTX-HPF 290	290_L6 CT CTX	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_84	84_Sst	84_Sst	CS202106160_444	Sst	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						84_Sst	CTX-HPF 084	84_Sst	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_18	18_Lamp5	18_Lamp5	subclass_label:e40986e2c0	Lamp5	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						18_Lamp5	CTX-HPF 018	18_Lamp5	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_77	77_Sst HPF	77_Sst HPF	CS202106160_444	Sst	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						77_Sst HPF	CTX-HPF 077	77_Sst HPF	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_289	289_L6 CT CTX	289_L6 CT CTX	CS202106160_548	L6 CT CTX	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						289_L6 CT CTX	CTX-HPF 289	289_L6 CT CTX	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_89	89_Sst	89_Sst	CS202106160_444	Sst	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						89_Sst	CTX-HPF 089	89_Sst	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_8	8_Lamp5 Lhx6	8_Lamp5 Lhx6	subclass_label:e40986e2c0	Lamp5	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						8_Lamp5 Lhx6	CTX-HPF 008	8_Lamp5 Lhx6	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_272	272_NP SUB	272_NP SUB	CS202106160_541	NP SUB	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						272_NP SUB	CTX-HPF 272	272_NP SUB	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_350	350_Mossy	350_Mossy	CS202106160_578	CA3	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						350_Mossy	CTX-HPF 350	350_Mossy	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_261	261_L4 RSP-ACA	261_L4 RSP-ACA	CS202106160_535	L4 RSP-ACA	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						261_L4 RSP-ACA	CTX-HPF 261	261_L4 RSP-ACA	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_317	317_L6b CTX	317_L6b CTX	subclass_label:8fb647662f	L6b CTX	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						317_L6b CTX	CTX-HPF 317	317_L6b CTX	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_149	149_L2 IT ENTm	149_L2 IT ENTm	CS202106160_486	L2 IT ENTm	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						149_L2 IT ENTm	CTX-HPF 149	149_L2 IT ENTm	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_235	235_L6 IT ENTl	235_L6 IT ENTl	subclass_label:7ec93c83f4	L6 IT ENTl	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						235_L6 IT ENTl	CTX-HPF 235	235_L6 IT ENTl	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_368	368_Oligo	368_Oligo	subclass_label:3deb6c773a	Oligo	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						368_Oligo	CTX-HPF 368	368_Oligo	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_165	165_L2/3 IT CTX	165_L2/3 IT CTX	CS202106160_494	L2/3 IT CTX	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						165_L2/3 IT CTX	CTX-HPF 165	165_L2/3 IT CTX	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_387	387_Micro-PVM	387_Micro-PVM	CS202106160_608	Micro-PVM	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						387_Micro-PVM	CTX-HPF 387	387_Micro-PVM	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_370	370_Oligo	370_Oligo	subclass_label:3deb6c773a	Oligo	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						370_Oligo	CTX-HPF 370	370_Oligo	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_64	64_Sst Chodl	64_Sst Chodl	CS202106160_441	Sst Chodl	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						64_Sst Chodl	CTX-HPF 064	64_Sst Chodl	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_384	384_VLMC	384_VLMC	CS202106160_606	VLMC	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						384_VLMC	CTX-HPF 384	384_VLMC	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_341	341_CA1	341_CA1	subclass_label:5c6ec72876	CA1-ProS	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						341_CA1	CTX-HPF 341	341_CA1	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_339	339_CA1	339_CA1	subclass_label:5c6ec72876	CA1-ProS	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						339_CA1	CTX-HPF 339	339_CA1	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_94	94_Sst	94_Sst	CS202106160_444	Sst	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						94_Sst	CTX-HPF 094	94_Sst	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_369	369_Oligo	369_Oligo	subclass_label:3deb6c773a	Oligo	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						369_Oligo	CTX-HPF 369	369_Oligo	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_373	373_Oligo	373_Oligo	subclass_label:3deb6c773a	Oligo	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						373_Oligo	CTX-HPF 373	373_Oligo	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_304	304_L6b CTX	304_L6b CTX	subclass_label:8fb647662f	L6b CTX	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						304_L6b CTX	CTX-HPF 304	304_L6b CTX	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_34	34_Sncg	34_Sncg	subclass_label:86d5f48b05	Sncg	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						34_Sncg	CTX-HPF 034	34_Sncg	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_377	377_Astro	377_Astro	subclass_label:ae2c9ed8f1	Astro	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						377_Astro	CTX-HPF 377	377_Astro	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_222	222_L6 IT CTX	222_L6 IT CTX	subclass_label:10db4e9506	L6 IT CTX	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						222_L6 IT CTX	CTX-HPF 222	222_L6 IT CTX	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_203	203_L5/6 IT CTX	203_L5/6 IT CTX	subclass_label:d88cf82cba	L5 IT CTX	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						203_L5/6 IT CTX	CTX-HPF 203	203_L5/6 IT CTX	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_123	123_Pvalb Vipr2	123_Pvalb Vipr2	CS202106160_463	Pvalb	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						123_Pvalb Vipr2	CTX-HPF 123	123_Pvalb Vipr2	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_43	43_Vip	43_Vip	subclass_label:a547e761cb	Vip	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						43_Vip	CTX-HPF 043	43_Vip	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_251	251_L5 PT CTX	251_L5 PT CTX	CS202106160_528	L5 PT CTX	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						251_L5 PT CTX	CTX-HPF 251	251_L5 PT CTX	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_3	3_Meis2	3_Meis2	CS202106160_396	Meis2	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						3_Meis2	CTX-HPF 003	3_Meis2	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_221	221_L6 IT CTX	221_L6 IT CTX	subclass_label:10db4e9506	L6 IT CTX	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						221_L6 IT CTX	CTX-HPF 221	221_L6 IT CTX	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_175	175_IT HATA	175_IT HATA	CS202106160_498	L2/3 IT RHP	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						175_IT HATA	CTX-HPF 175	175_IT HATA	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_108	108_Pvalb	108_Pvalb	CS202106160_463	Pvalb	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						108_Pvalb	CTX-HPF 108	108_Pvalb	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_313	313_L6b CTX	313_L6b CTX	subclass_label:8fb647662f	L6b CTX	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						313_L6b CTX	CTX-HPF 313	313_L6b CTX	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_70	70_Sst	70_Sst	CS202106160_444	Sst	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						70_Sst	CTX-HPF 070	70_Sst	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_39	39_Sncg	39_Sncg	subclass_label:86d5f48b05	Sncg	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						39_Sncg	CTX-HPF 039	39_Sncg	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_281	281_L6 CT CTX	281_L6 CT CTX	CS202106160_548	L6 CT CTX	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						281_L6 CT CTX	CTX-HPF 281	281_L6 CT CTX	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_111	111_Pvalb	111_Pvalb	CS202106160_463	Pvalb	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						111_Pvalb	CTX-HPF 111	111_Pvalb	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_213	213_L5/6 IT TPE-ENT	213_L5/6 IT TPE-ENT	subclass_label:753888bc28	L5/6 IT TPE-ENT	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						213_L5/6 IT TPE-ENT	CTX-HPF 213	213_L5/6 IT TPE-ENT	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_58	58_Vip Igfbp6	58_Vip Igfbp6	subclass_label:a547e761cb	Vip	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						58_Vip Igfbp6	CTX-HPF 058	58_Vip Igfbp6	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_193	193_L4/5 IT CTX	193_L4/5 IT CTX	subclass_label:40ec201664	L4/5 IT CTX	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						193_L4/5 IT CTX	CTX-HPF 193	193_L4/5 IT CTX	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_323	323_ProS	323_ProS	subclass_label:a416c5553f	SUB-ProS	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						323_ProS	CTX-HPF 323	323_ProS	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_333	333_CA1-ProS	333_CA1-ProS	subclass_label:5c6ec72876	CA1-ProS	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						333_CA1-ProS	CTX-HPF 333	333_CA1-ProS	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_132	132_L2 IT RSPv-POST-PRE	132_L2 IT RSPv-POST-PRE	subclass_label:5d7a3b937f	L2/3 IT PPP	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						132_L2 IT RSPv-POST-PRE	CTX-HPF 132	132_L2 IT RSPv-POST-PRE	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_269	269_L5/6 NP CTX	269_L5/6 NP CTX	CS202106160_538	L5/6 NP CTX	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						269_L5/6 NP CTX	CTX-HPF 269	269_L5/6 NP CTX	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_244	244_L5 PT CTX	244_L5 PT CTX	CS202106160_528	L5 PT CTX	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						244_L5 PT CTX	CTX-HPF 244	244_L5 PT CTX	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_301	301_L6b ENT	301_L6b ENT	subclass_label:d636443977	L6b/CT ENT	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						301_L6b ENT	CTX-HPF 301	301_L6b ENT	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_86	86_Sst	86_Sst	CS202106160_444	Sst	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						86_Sst	CTX-HPF 086	86_Sst	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_228	228_L6 IT CTX	228_L6 IT CTX	subclass_label:10db4e9506	L6 IT CTX	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						228_L6 IT CTX	CTX-HPF 228	228_L6 IT CTX	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
