cell_set_accession	cell_label	cell_fullname	parent_cell_set_accession	parent_cell_set_name	labelset	cell_ontology_term_id	cell_ontology_term	rationale	rationale_dois	marker_gene_evidence	synonyms	neurotransmitter_accession	neurotransmitter_rationale	neurotransmitter_marker_gene_evidence	original_label	cell_set_designation	cell_set_alias	cell_set_structure	cell_set_ontology_tag	cell_set_alias_assignee	taxonomy_id
CS202106160_279	279_L6 CT CTX	279_L6 CT CTX	CS202106160_548	L6 CT CTX	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						279_L6 CT CTX	CTX-HPF 279	279_L6 CT CTX	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_293	293_L6 CT CTX	293_L6 CT CTX	CS202106160_548	L6 CT CTX	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						293_L6 CT CTX	CTX-HPF 293	293_L6 CT CTX	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_129	129_L2/3 IT POST-PRE	129_L2/3 IT POST-PRE	subclass_label:5d7a3b937f	L2/3 IT PPP	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						129_L2/3 IT POST-PRE	CTX-HPF 129	129_L2/3 IT POST-PRE	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_71	71_Sst	71_Sst	CS202106160_444	Sst	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						71_Sst	CTX-HPF 071	71_Sst	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_318	318_SUB	318_SUB	subclass_label:a416c5553f	SUB-ProS	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						318_SUB	CTX-HPF 318	318_SUB	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_347	347_CA1-do	347_CA1-do	subclass_label:5c6ec72876	CA1-ProS	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						347_CA1-do	CTX-HPF 347	347_CA1-do	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_133	133_L2 IT RSPv-POST-PRE	133_L2 IT RSPv-POST-PRE	subclass_label:5d7a3b937f	L2/3 IT PPP	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						133_L2 IT RSPv-POST-PRE	CTX-HPF 133	133_L2 IT RSPv-POST-PRE	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_345	345_CA1	345_CA1	subclass_label:5c6ec72876	CA1-ProS	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						345_CA1	CTX-HPF 345	345_CA1	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_83	83_Sst	83_Sst	CS202106160_444	Sst	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						83_Sst	CTX-HPF 083	83_Sst	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_59	59_Vip Igfbp6	59_Vip Igfbp6	subclass_label:a547e761cb	Vip	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						59_Vip Igfbp6	CTX-HPF 059	59_Vip Igfbp6	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_1	1_CR	1_CR	subclass_label:da99a9426c	CR	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						1_CR	CTX-HPF 001	1_CR	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_200	200_L5 IT CTX	200_L5 IT CTX	subclass_label:d88cf82cba	L5 IT CTX	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						200_L5 IT CTX	CTX-HPF 200	200_L5 IT CTX	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_223	223_L6 IT CTX	223_L6 IT CTX	subclass_label:10db4e9506	L6 IT CTX	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						223_L6 IT CTX	CTX-HPF 223	223_L6 IT CTX	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_239	239_L5 PT CTX	239_L5 PT CTX	CS202106160_528	L5 PT CTX	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						239_L5 PT CTX	CTX-HPF 239	239_L5 PT CTX	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_17	17_Lamp5	17_Lamp5	subclass_label:e40986e2c0	Lamp5	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						17_Lamp5	CTX-HPF 017	17_Lamp5	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_82	82_Sst	82_Sst	CS202106160_444	Sst	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						82_Sst	CTX-HPF 082	82_Sst	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_356	356_CA3-do	356_CA3-do	CS202106160_578	CA3	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						356_CA3-do	CTX-HPF 356	356_CA3-do	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_230	230_L6 IT CTX	230_L6 IT CTX	subclass_label:10db4e9506	L6 IT CTX	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						230_L6 IT CTX	CTX-HPF 230	230_L6 IT CTX	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_343	343_CA1	343_CA1	subclass_label:5c6ec72876	CA1-ProS	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						343_CA1	CTX-HPF 343	343_CA1	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_150	150_L2 IT ENTm	150_L2 IT ENTm	CS202106160_486	L2 IT ENTm	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						150_L2 IT ENTm	CTX-HPF 150	150_L2 IT ENTm	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_199	199_L5 IT CTX	199_L5 IT CTX	subclass_label:d88cf82cba	L5 IT CTX	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						199_L5 IT CTX	CTX-HPF 199	199_L5 IT CTX	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_346	346_CA1-do	346_CA1-do	subclass_label:5c6ec72876	CA1-ProS	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						346_CA1-do	CTX-HPF 346	346_CA1-do	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_248	248_L5 PT CTX	248_L5 PT CTX	CS202106160_528	L5 PT CTX	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						248_L5 PT CTX	CTX-HPF 248	248_L5 PT CTX	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_327	327_ProS	327_ProS	subclass_label:a416c5553f	SUB-ProS	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						327_ProS	CTX-HPF 327	327_ProS	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_48	48_Vip	48_Vip	subclass_label:a547e761cb	Vip	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						48_Vip	CTX-HPF 048	48_Vip	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_172	172_L2/3 IT ProS	172_L2/3 IT ProS	CS202106160_498	L2/3 IT RHP	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						172_L2/3 IT ProS	CTX-HPF 172	172_L2/3 IT ProS	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_206	206_L5/6 IT CTX	206_L5/6 IT CTX	subclass_label:d88cf82cba	L5 IT CTX	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						206_L5/6 IT CTX	CTX-HPF 206	206_L5/6 IT CTX	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
CS202106160_385	385_VLMC	385_VLMC	CS202106160_606	VLMC	cluster_label				https://doi.org/10.1016/j.cell.2021.04.021						385_VLMC	CTX-HPF 385	385_VLMC	Cortical plate; Hippocampal formation	none; none	Zizhen Yao	CCN202106160
